City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
54,Kruisfontein,ZA,2020-05-08 14:11:12,-34.0,24.73,68.49,72,0,8.61,clear sky,0.000,0
55,Busselton,AU,2020-05-08 14:11:12,-33.65,115.33,48.99,64,1,7.99,clear sky,0.000,0
56,Atuona,PF,2020-05-08 14:11:12,-9.8,-139.03,80.98,69,99,14.94,overcast clouds,0.000,0
57,Goderich,CA,2020-05-08 14:11:12,43.75,-81.72,37.99,62,100,17.96,overcast clouds,0.000,0
58,Port Blair,IN,2020-05-08 14:11:13,11.67,92.75,84.7,78,100,6.8,moderate rain,0.000,0
59,Hobart,AU,2020-05-08 14:09:01,-42.88,147.33,53.6,71,100,6.93,overcast clouds,0.000,0
60,Montargis,FR,2020-05-08 14:11:13,47.83,2.75,78.01,51,100,2.91,light rain,0.000,0
61,Morros,BR,2020-05-08 14:11:13,-9.45,-46.3,85.48,58,100,3.44,overcast clouds,0.000,0
62,Shingu,JP,2020-05-08 14:11:13,33.73,135.98,57.04,84,100,3.29,overcast clouds,0.000,0
63,Srandakan,ID,2020-05-08 14:11:14,-7.94,110.25,79.81,88,100,6.13,overcast clouds,0.000,0
64,Longyearbyen,SJ,2020-05-08 14:11:14,78.22,15.64,28.4,63,40,8.05,scattered clouds,0.000,0
65,Ribeira Grande,PT,2020-05-08 14:11:14,38.52,-28.7,64.4,63,40,25.28,scattered clouds,0.000,0
66,Arethousa,GR,2020-05-08 14:11:14,40.74,23.59,72.0,42,0,5.99,clear sky,0.000,0
67,Broome,US,2020-05-08 14:11:14,42.25,-75.83,46.0,48,75,8.05,broken clouds,0.000,0
68,Tuktoyaktuk,CA,2020-05-08 14:11:14,69.45,-133.04,10.4,85,5,16.11,clear sky,0.000,0
69,Katiola,CI,2020-05-08 14:11:15,8.13,-5.1,89.6,59,75,2.24,broken clouds,0.000,0
70,Ayorou,NE,2020-05-08 14:11:15,14.73,0.92,106.95,7,40,6.04,scattered clouds,0.000,0
71,Mana,GF,2020-05-08 14:11:15,5.66,-53.78,81.27,76,97,11.68,overcast clouds,0.000,0
72,Kirkenaer,NO,2020-05-08 14:11:15,60.46,12.06,61.0,10,98,1.01,overcast clouds,0.000,0
73,Carnarvon,AU,2020-05-08 14:11:15,-24.87,113.63,72.39,38,100,20.98,overcast clouds,0.000,0
74,Hirara,JP,2020-05-08 14:11:16,24.8,125.28,76.51,87,11,13.47,few clouds,0.000,0
75,Lasa,IT,2020-05-08 14:11:16,46.62,10.7,60.8,55,75,9.17,broken clouds,0.000,0
76,Aneho,TG,2020-05-08 14:11:16,6.23,1.6,91.4,66,20,10.29,few clouds,0.000,0
77,Steinbach,DE,2020-05-08 14:11:16,50.17,8.57,82.0,25,100,3.36,overcast clouds,0.000,0
78,Moree,AU,2020-05-08 14:11:16,-29.47,149.85,64.4,52,75,9.62,broken clouds,0.000,0
79,Sassandra,CI,2020-05-08 14:11:16,4.95,-6.08,87.15,68,30,10.33,scattered clouds,0.000,0
80,Chicama,PE,2020-05-08 14:11:17,-7.84,-79.15,68.0,88,9,6.93,mist,0.000,0
81,Kavaratti,IN,2020-05-08 14:11:17,10.57,72.64,86.23,77,99,8.34,overcast clouds,0.000,0
82,Porto Belo,BR,2020-05-08 14:11:17,-27.16,-48.55,73.0,68,0,9.17,clear sky,0.000,0
83,Alofi,NU,2020-05-08 14:11:17,-19.06,-169.92,71.6,94,68,1.12,broken clouds,0.000,0
84,Bengkulu,ID,2020-05-08 14:11:17,-3.8,102.27,78.03,90,100,5.23,light rain,0.000,0
85,Beloha,MG,2020-05-08 14:11:18,-25.17,45.05,69.87,71,53,15.59,broken clouds,0.000,0
86,Qaanaaq,GL,2020-05-08 14:11:18,77.48,-69.36,16.52,87,95,5.53,overcast clouds,0.000,0
87,Poum,NC,2020-05-08 14:11:18,-20.23,164.02,74.98,74,18,20.96,few clouds,0.000,0
88,Airai,TL,2020-05-08 14:11:18,-8.93,125.41,57.4,100,13,3.2,few clouds,0.000,0
89,Kununurra,AU,2020-05-08 14:10:36,-15.77,128.73,68.0,68,85,4.7,overcast clouds,0.000,0
90,Glenwood Springs,US,2020-05-08 14:06:55,39.55,-107.32,37.99,49,1,4.7,clear sky,0.000,0
91,Clyde River,CA,2020-05-08 14:11:19,70.47,-68.59,17.6,78,20,19.46,few clouds,0.000,0
92,Bon Accord,CA,2020-05-08 14:11:19,53.83,-113.42,41.0,93,90,18.34,overcast clouds,0.000,0
93,Denpasar,ID,2020-05-08 14:11:19,-8.65,115.22,82.4,100,40,13.87,thunderstorm,0.000,0
94,Torbay,CA,2020-05-08 14:11:19,47.67,-52.73,48.0,93,90,11.41,light intensity drizzle,0.000,0
95,Bluefields,NI,2020-05-08 14:11:20,12.01,-83.76,82.6,81,100,10.58,light rain,0.000,0
96,Caravelas,BR,2020-05-08 14:11:20,-17.71,-39.25,71.69,89,100,11.52,light rain,0.000,0
97,Hilo,US,2020-05-08 14:11:20,19.73,-155.09,68.0,82,1,5.82,clear sky,0.000,0
98,Puerto Ayora,EC,2020-05-08 14:11:20,-0.74,-90.35,77.0,95,26,1.99,scattered clouds,0.000,0
99,San Isidro,PE,2020-05-08 14:11:21,-12.12,-77.05,68.0,88,80,5.82,broken clouds,0.000,0
100,Saint-Augustin,CA,2020-05-08 14:11:21,51.23,-58.65,34.38,97,100,7.29,light snow,0.000,0
101,New Norfolk,AU,2020-05-08 14:11:21,-42.78,147.06,51.01,76,98,2.77,overcast clouds,0.000,0
102,Thompson,CA,2020-05-08 14:11:21,55.74,-97.86,24.8,73,90,4.7,overcast clouds,0.000,0
103,Kotelnikovo,RU,2020-05-08 14:11:22,47.63,43.15,63.99,56,100,11.21,overcast clouds,0.000,0
104,Nikolskoye,RU,2020-05-08 14:11:22,59.7,30.79,53.6,40,20,11.18,few clouds,0.000,0
105,Udomlya,RU,2020-05-08 14:11:22,57.88,34.99,54.63,45,22,5.12,few clouds,0.000,0
106,Hami,CN,2020-05-08 14:11:22,42.8,93.45,64.38,23,0,1.97,clear sky,0.000,0
107,Soure,BR,2020-05-08 14:11:22,-0.72,-48.52,83.37,75,3,5.53,light rain,0.000,0
108,May Pen,JM,2020-05-08 14:11:22,17.96,-77.25,84.99,74,20,6.93,few clouds,0.000,0
109,Tasiilaq,GL,2020-05-08 14:11:23,65.61,-37.64,30.2,86,0,4.7,clear sky,0.000,0
110,Redmond,US,2020-05-08 14:07:04,47.67,-122.12,54.0,92,0,3.62,clear sky,0.000,0
111,Kysyl-Syr,RU,2020-05-08 14:11:23,63.9,122.76,23.13,96,100,10.96,light snow,0.000,0
112,Rochegda,RU,2020-05-08 14:11:23,62.8,43.25,50.7,67,97,5.14,light rain,0.000,0
113,Dingle,PH,2020-05-08 14:11:23,11.0,122.67,80.82,73,61,4.99,broken clouds,0.000,0
114,Cidreira,BR,2020-05-08 14:11:23,-30.18,-50.21,62.73,64,1,3.49,clear sky,0.000,0
115,Tukrah,LY,2020-05-08 14:11:24,32.53,20.58,67.77,45,0,18.9,clear sky,0.000,0
116,Morinville,CA,2020-05-08 14:11:24,53.8,-113.65,42.8,93,90,18.34,overcast clouds,0.000,0
117,Barrow,US,2020-05-08 14:08:09,71.29,-156.79,15.8,92,90,12.75,fog,0.000,0
118,Nouadhibou,MR,2020-05-08 14:11:24,20.93,-17.03,84.2,32,0,24.16,clear sky,0.000,0
119,Pisco,PE,2020-05-08 14:11:24,-13.7,-76.22,68.0,77,42,2.24,haze,0.000,0
120,Port Augusta,AU,2020-05-08 14:11:24,-32.5,137.77,60.8,55,0,8.05,clear sky,0.000,0
121,Placido De Castro,BR,2020-05-08 14:11:25,-10.34,-67.19,72.1,49,39,5.28,scattered clouds,0.000,0
122,Udayagiri,IN,2020-05-08 14:11:25,20.13,84.38,82.17,44,17,2.82,few clouds,0.000,0
